UserID,MAC_Address,IP_Address,Login_Time,Duration_Minutes,Data_Usage_MB
user002,MAC_4A:50:3D,192.168.1.108,2025-09-20 00:14:00,202,769.19
user034,MAC_22:22:22,192.168.10.88,2025-09-20 01:04:00,149,742.98
user043,MAC_2B:2B:2B,192.168.10.75,2025-09-20 01:50:00,92,775.45
user046,MAC_2E:2E:2E,192.168.1.6,2025-09-20 01:57:00,19,815.92
user044,MAC_2C:2C:2C,192.168.5.101,2025-09-20 02:39:00,194,1063.4
user003,MAC_03:03:03,192.168.1.105,2025-09-20 03:28:00,56,307.05
user011,MAC_0B:0B:0B,192.168.10.236,2025-09-20 03:31:00,241,681.59
user008,MAC_08:08:08,192.168.6.85,2025-09-20 06:15:00,189,177.77
user041,MAC_29:29:29,192.168.5.185,2025-09-20 07:28:00,67,138.73
user005,MAC_05:05:05,192.168.10.133,2025-09-20 08:16:00,69,334.22
user043,MAC_2B:2B:2B,192.168.8.28,2025-09-20 09:05:00,129,978.69
user003,MAC_03:03:03,192.168.4.174,2025-09-20 09:17:00,112,389.07
user020,MAC_14:14:14,192.168.2.192,2025-09-20 09:28:00,118,454.89
user046,MAC_2E:2E:2E,192.168.6.165,2025-09-20 09:48:00,144,488.39
user049,MAC_31:31:31,192.168.6.191,2025-09-20 10:15:00,98,387.14
user033,MAC_21:21:21,192.168.10.236,2025-09-20 10:34:00,79,430.31
user050,MAC_32:32:32,192.168.9.199,2025-09-20 11:08:00,116,90.13
user021,MAC_15:15:15,192.168.4.86,2025-09-20 11:56:00,30,385.09
user007,MAC_07:07:07,192.168.10.139,2025-09-20 12:01:00,143,441.71
user044,MAC_2C:2C:2C,192.168.10.173,2025-09-20 12:13:00,3579,602.85
user012,MAC_0C:0C:0C,192.168.10.236,2025-09-20 13:42:00,47,1300.72
user048,MAC_30:30:30,192.168.5.185,2025-09-20 13:49:00,176,325.05
user001,MAC_01:01:01,192.168.6.165,2025-09-20 13:52:00,253,537.88
user007,MAC_07:07:07,192.168.8.47,2025-09-20 15:27:00,70,616.67
user020,MAC_14:14:14,192.168.10.238,2025-09-20 16:20:00,108,114.61
user035,MAC_23:23:23,192.168.9.107,2025-09-20 16:28:00,179,571.09
user013,MAC_0D:0D:0D,192.168.4.44,2025-09-20 16:29:00,157,509.2
user049,MAC_31:31:31,192.168.5.151,2025-09-20 16:58:00,163,343.86
user028,MAC_1C:1C:1C,192.168.1.6,2025-09-20 17:12:00,14,341.77
user031,MAC_1F:1F:1F,192.168.9.101,2025-09-20 17:18:00,133,252.07
user014,MAC_0E:0E:0E,192.168.2.198,2025-09-20 17:30:00,129,1137.26
user023,MAC_17:17:17,192.168.5.145,2025-09-20 17:44:00,192,690.29
user023,MAC_17:17:17,192.168.8.109,2025-09-20 18:34:00,208,20.74
user049,MAC_31:31:31,192.168.4.73,2025-09-20 19:03:00,95,18473.69
user003,MAC_03:03:03,192.168.5.221,2025-09-20 19:21:00,62,1017.04
user020,MAC_14:14:14,192.168.1.2,2025-09-20 19:39:00,16,507.94
user011,MAC_0B:0B:0B,192.168.7.57,2025-09-20 20:02:00,92,318.24
user029,MAC_1D:1D:1D,192.168.2.169,2025-09-20 20:53:00,169,40.7
user036,MAC_24:24:24,192.168.3.60,2025-09-20 21:31:00,194,495.53
user016,MAC_10:10:10,192.168.7.193,2025-09-20 21:34:00,215,599.18
user027,MAC_1B:1B:1B,192.168.3.148,2025-09-20 22:17:00,291,423.9
user047,MAC_2F:2F:2F,192.168.9.82,2025-09-20 22:48:00,118,193.93
user043,MAC_2B:2B:2B,192.168.1.71,2025-09-20 23:17:00,5,466.75
user007,MAC_07:07:07,192.168.10.99,2025-09-20 23:48:00,63,811.69
user030,MAC_1E:1E:1E,192.168.2.77,2025-09-21 00:07:00,88,348.77
user041,MAC_29:29:29,192.168.7.25,2025-09-21 00:12:00,125,17406.85
user035,MAC_23:23:23,192.168.7.200,2025-09-21 00:32:00,48,631.72
user003,MAC_03:03:03,192.168.1.75,2025-09-21 00:54:00,270,638.38
user017,MAC_11:11:11,192.168.9.141,2025-09-21 01:13:00,114,894.55
user027,MAC_1B:1B:1B,192.168.1.6,2025-09-21 01:43:00,55,552.34
user034,MAC_22:22:22,192.168.4.86,2025-09-21 01:46:00,143,217.94
user029,MAC_1D:1D:1D,192.168.6.249,2025-09-21 01:54:00,93,603.41
user049,MAC_31:31:31,192.168.10.83,2025-09-21 02:10:00,60,653.79
user038,MAC_26:26:26,192.168.1.204,2025-09-21 02:33:00,21,656.13
user031,MAC_1F:1F:1F,192.168.10.173,2025-09-21 03:19:00,58,10850.59
user034,MAC_22:22:22,192.168.6.197,2025-09-21 03:48:00,199,678.18
user035,MAC_23:23:23,192.168.3.70,2025-09-21 05:15:00,57,256.82
user007,MAC_07:07:07,192.168.5.115,2025-09-21 06:30:00,90,781.17
user038,MAC_26:26:26,192.168.9.183,2025-09-21 09:41:00,154,471.26
user014,MAC_0E:0E:0E,192.168.6.85,2025-09-21 09:43:00,194,45.52
user021,MAC_15:15:15,192.168.9.44,2025-09-21 11:14:00,152,206.06
user029,MAC_1D:1D:1D,192.168.1.71,2025-09-21 11:25:00,132,986.63
user041,MAC_29:29:29,192.168.6.197,2025-09-21 12:16:00,103,120.61
user015,MAC_0F:0F:0F,192.168.10.151,2025-09-21 13:01:00,15,901.83
