user_id,timestamp,device_id,lokasi
2020,2025-10-06 07:54:58,DEV101,Gedung-A-101
2005,2025-10-06 07:55:45,DEV101,Gedung-A-101
2005,2025-10-06 07:56:01,DEV101,Gedung-A-101
2015,2025-10-06 07:56:22,DEV101,Gedung-A-101
2025,2025-10-06 07:57:08,DEV101,Gedung-A-101
2008,2025-10-06 07:57:33,DEV202,Gedung-B-202
2001,2025-10-06 07:58:11,DEV101,Gedung-A-101
2021,2025-10-06 07:58:29,DEV101,Gedung-A-101
2002,2025-10-06 07:59:02,DEV101,Gedung-A-101
2009,2025-10-06 08:00:50,DEV101,Gedung-A-101
2019,2025-10-06 08:00:13,DEV101,Gedung-A-101
2003,2025-10-06 08:01:34,DEV101,Gedung-A-101
2014,2025-10-06 08:01:59,DEV101,Gedung-A-101
2006,2025-10-06 08:02:19,DEV101,Gedung-A-101
2024,2025-10-06 08:02:44,DEV101,Gedung-A-101
2022,2025-10-06 08:03:03,DEV101,Gedung-A-101
2007,2025-10-06 08:03:48,DEV101,Gedung-A-101
2013,2025-10-06 08:04:12,DEV101,Gedung-A-101
2004,2025-10-06 08:05:21,DEV101,Gedung-A-101
2018,2025-10-06 08:06:55,DEV101,Gedung-A-101
2010,2025-10-06 08:08:14,DEV101,Gedung-A-101
2016,2025-10-06 08:09:41,DEV101,Gedung-A-101
2012,2025-10-06 08:10:05,DEV101,Gedung-A-101
2023,2025-10-06 08:11:47,DEV101,Gedung-A-101
2033,2025-10-06 11:30:15,DEV301,Perpustakaan
2048,2025-10-06 14:01:50,DEV301,Perpustakaan
2002,2025-10-06 15:21:09,DEV301,Perpustakaan
2049,2025-10-07 09:54:44,DEV102,Gedung-A-102
2026,2025-10-07 09:55:10,DEV102,Gedung-A-102
2035,2025-10-07 09:56:49,DEV102,Gedung-A-102
2044,2025-10-07 09:57:38,DEV102,Gedung-A-102
2029,2025-10-07 09:58:51,DEV102,Gedung-A-102
2038,2025-10-07 09:59:15,DEV102,Gedung-A-102
2030,2025-10-07 10:00:18,DEV102,Gedung-A-102
2031,2025-10-07 10:00:30,DEV102,Gedung-A-102
2042,2025-10-07 10:00:55,DEV102,Gedung-A-102
2027,2025-10-07 10:01:22,DEV102,Gedung-A-102
2048,2025-10-07 10:01:50,DEV102,Gedung-A-102
2034,2025-10-07 10:02:11,DEV102,Gedung-A-102
2047,2025-10-07 10:03:05,DEV102,Gedung-A-102
2028,2025-10-07 10:03:45,DEV102,Gedung-A-102
2037,2025-10-07 10:04:00,DEV102,Gedung-A-102
2039,2025-10-07 10:06:40,DEV102,Gedung-A-102
2032,2025-10-07 10:07:01,DEV102,Gedung-A-102
2043,2025-10-07 10:08:12,DEV102,Gedung-A-102
2036,2025-10-07 10:09:27,DEV102,Gedung-A-102
2050,2025-10-07 10:10:10,DEV102,Gedung-A-102
2041,2025-10-07 10:11:03,DEV102,Gedung-A-102
2046,2025-10-07 10:12:30,DEV102,Gedung-A-102
2015,2025-10-07 13:45:22,DEV301,Perpustakaan
2040,2025-10-07 14:12:33,DEV301,Perpustakaan
2014,2025-10-08 12:55:40,DEV201,Gedung-B-201
2020,2025-10-08 12:56:59,DEV201,Gedung-B-201
2007,2025-10-08 12:57:12,DEV201,Gedung-B-201
2023,2025-10-08 12:58:04,DEV201,Gedung-B-201
2001,2025-10-08 12:58:41,DEV201,Gedung-B-201
2010,2025-10-08 12:59:01,DEV201,Gedung-B-201
2017,2025-10-08 13:00:00,DEV201,Gedung-B-201
2006,2025-10-08 13:00:58,DEV201,Gedung-B-201
2015,2025-10-08 13:01:05,DEV201,Gedung-B-201
2002,2025-10-08 13:01:25,DEV201,Gedung-B-201
2022,2025-10-08 13:02:15,DEV201,Gedung-B-201
2008,2025-10-08 13:02:40,DEV201,Gedung-B-201
