ID,Datetime,Status
0185217,2025-01-01 08:00:00,In
0185217,2025-01-01 18:03:00,Out
0804447,2025-01-01 08:11:00,In
0804447,2025-01-01 17:30:00,Out
0813432,2025-01-01 08:06:00,In
0813432,2025-01-01 16:33:00,Out
0055024,2025-01-01 09:54:00,In
0055024,2025-01-01 16:22:00,Out
0078657,2025-01-01 08:05:00,In
0078657,2025-01-01 18:46:00,Out
0748083,2025-01-01 09:55:00,In
0748083,2025-01-01 16:33:00,Out
0673615,2025-01-01 07:26:00,In
0673615,2025-01-01 18:13:00,Out
0193586,2025-01-01 07:26:00,In
0193586,2025-01-01 17:47:00,Out
0479911,2025-01-01 09:39:00,In
0479911,2025-01-01 17:01:00,Out
0084387,2025-01-01 07:38:00,In
0084387,2025-01-01 16:05:00,Out
0416428,2025-01-01 08:25:00,In
0416428,2025-01-01 17:33:00,Out
0511122,2025-01-01 09:37:00,In
0511122,2025-01-01 16:58:00,Out
0777956,2025-01-01 08:28:00,In
0777956,2025-01-01 17:16:00,Out
0462926,2025-01-01 08:20:00,In
0462926,2025-01-01 16:04:00,Out
0884652,2025-01-01 07:01:00,In
0884652,2025-01-01 17:26:00,Out
0185217,2025-01-02 08:15:00,In
0185217,2025-01-02 16:02:00,Out
0804447,2025-01-02 07:55:00,In
0804447,2025-01-02 18:56:00,Out
0813432,2025-01-02 09:55:00,In
0813432,2025-01-02 18:17:00,Out
0055024,2025-01-02 09:41:00,In
0055024,2025-01-02 17:17:00,Out
0078657,2025-01-02 07:57:00,In
0078657,2025-01-02 16:26:00,Out
0748083,2025-01-02 08:05:00,In
0748083,2025-01-02 18:30:00,Out
0673615,2025-01-02 07:35:00,In
0673615,2025-01-02 16:12:00,Out
0193586,2025-01-02 07:23:00,In
0193586,2025-01-02 16:25:00,Out
0479911,2025-01-02 07:55:00,In
0479911,2025-01-02 16:20:00,Out
0084387,2025-01-02 09:49:00,In
0084387,2025-01-02 16:08:00,Out
0416428,2025-01-02 09:28:00,In
0416428,2025-01-02 18:00:00,Out
0511122,2025-01-02 07:19:00,In
0511122,2025-01-02 16:06:00,Out
0777956,2025-01-02 08:33:00,In
0777956,2025-01-02 17:23:00,Out
0462926,2025-01-02 09:16:00,In
0462926,2025-01-02 17:14:00,Out
0884652,2025-01-02 09:12:00,In
0884652,2025-01-02 16:49:00,Out
0185217,2025-01-03 09:30:00,In
0185217,2025-01-03 17:16:00,Out
0804447,2025-01-03 07:12:00,In
0804447,2025-01-03 18:10:00,Out
0813432,2025-01-03 08:59:00,In
0813432,2025-01-03 17:17:00,Out
0055024,2025-01-03 07:56:00,In
0055024,2025-01-03 16:05:00,Out
0078657,2025-01-03 08:55:00,In
0078657,2025-01-03 17:40:00,Out
0748083,2025-01-03 09:04:00,In
0748083,2025-01-03 16:37:00,Out
0673615,2025-01-03 08:38:00,In
